Nombre Propiedad,Precio,Dormitorios,Baños,Metros Cuadrados,Dirección
Departamento Coronel Souper Id: 142565,$270.000,1 dormitorio,1 baño,35 m² útiles,"Coronel Souper, San Alberto Hurtad..."
Departamento Beaucheff Id: 141533,$200.000,1 dormitorio,1 baño,30 m² útiles,"Beaucheff, Parque O'higgins, Santi..."
Departamento Celia Solar Id: 142511,$345.000,2 dormitorios,1 baño,40 m² útiles,"Celia Solar, Rodrigo De Araya, San..."
Departamento Beaucheff Id: 141492,$200.000,1 dormitorio,1 baño,30 m² útiles,"Beaucheff, Parque O'higgins, Santi..."
Departamento General Gana Id: 142562,$270.000,1 dormitorio,1 baño,40 m² útiles,"General Gana, Franklin - Biobío, S..."
Departamento Av. Cardenal Samoré Id: 138186,$420.000,3 dormitorios,1 baño,51 m² útiles,"Av. Cardenal Samoré, Curauma, Valp..."
Departamento Blanco Garcés Id: 141710,$299.000,2 dormitorios,1 baño,45 m² útiles,"Blanco Garcés, San Alberto Hurtado..."
Departamento Colchane Id: 136096,$315.000,1 dormitorio,1 baño,30 m² útiles,"Colchane, Viña Del Mar"
Departamento Calle Pudeto Id: 136523,$320.000,1 dormitorio,1 baño,32 m² útiles,"Calle Pudeto, Plaza Vespucio, La F..."
Departamento Conde Del Maule Id: 142873,$300.000,1 dormitorio,1 baño,36 m² útiles,"Conde Del Maule, Metro Ecuador, Es..."
Departamento Conde Del Maule Id: 142878,$300.000,1 dormitorio,1 baño,36 m² útiles,"Conde Del Maule, Metro Ecuador, Es..."
Departamento Alcalde Pedro Alarcón Id: 142459,$590.000,3 dormitorios,2 baños,65 m² útiles,"Alcalde Pedro Alarcón, El Llano, S..."
Departamento Máximo Humbser Id: 92334,$189.000,1 dormitorio,1 baño,21 m² útiles,"Máximo Humbser, Centro Histórico D..."
Departamento Avenida Mapocho Id: 143074,$420.000,3 dormitorios,1 baño,48 m² útiles,"Avenida Mapocho, Salvador Gutiérre..."
Departamento En Arriendo De 3 Dorm. En Concón,$650.000,3 dormitorios,2 baños,90 m² útiles,"Abedules, Concón"
Departamento Lago Zenteno Id: 142726,$480.000,3 dormitorios,2 baños,60 m² útiles,"Lago Zenteno, Reñaca Alto, Viña De..."
Departamento Avenida Primera Id: 142533,$370.000,3 dormitorios,1 baño,54 m² útiles,"Avenida Primera, Reñaca Alto, Viña..."
Departamento Ana Luisa Id: 143056,$470.000,2 dormitorios,2 baños,56 m² útiles,"Ana Luisa, El Llano, San Miguel"
Departamento Abtao Id: 49867,$270.000,1 dormitorio,1 baño,33 m² útiles,"Abtao, Metro Ecuador, Estación Cen..."
Departamento Alonso De Ercilla Id: 143316,$500.000,2 dormitorios,2 baños,50 m² útiles,"Alonso De Ercilla, Vicente Valdés,..."
Departamento En Arriendo De 3 Dorm. En Vitacura,$1.950.000,3 dormitorios,3 baños,143 m² útiles,Arrienda Departamento 3d 3b| 150mt...
Departamento Guillermo Mann Id: 142779,$420.000,1 dormitorio,1 baño,34 m² útiles,"Guillermo Mann, Estadio Nacional, ..."
Departamento Navío San Martín Id: 141128,$350.000,1 dormitorio,1 baño,33 m² útiles,"Navío San Martín, Valparaíso"
Departamento Claudio Arrau Id: 142212,$450.000,2 dormitorios,1 baño,54 m² útiles,"Claudio Arrau, Barrancas, Pudahuel"
Departamento Inglaterra Id: 142913,$400.000,1 dormitorio,1 baño,33 m² útiles,"Inglaterra, Metro Mirador, La Flor..."
Departamento Los Aromos Id: 143331,$450.000,3 dormitorios,1 baño,45 m² útiles,"Los Aromos, Peñablanca, Villa Alem..."
Departamento Avenida Ecuador Id: 15619,$250.000,1 dormitorio,1 baño,38 m² útiles,"Avenida Ecuador, Metro Ecuador, Es..."
Departamento Buzo Sobenes Id: 135933,$200.000,1 dormitorio,1 baño,32 m² útiles,"Buzo Sobenes, San Alberto Hurtado,..."
Departamento Rio Grande Id: 142941,$450.000,1 dormitorio,1 baño,44 m² útiles,"Rio Grande, Montemar, Concón"
Departamento Lago Zenteno Id: 143208,$380.000,3 dormitorios,2 baños,60 m² útiles,"Lago Zenteno, Reñaca Alto, Viña De..."
Departamento Elisa Cole Id: 621,$415.000,1 dormitorio,1 baño,44 m² útiles,"Elisa Cole, Santa Isabel, Santiago"
Departamento Radal Del Obispo Francisco Anabalón Duarte,$260.000,1 dormitorio,1 baño,32 m² útiles,Radal Del Obispo Francisco Anabaló...
"Inglaterra, Nuevo A Estrenar Dos Ambientes, Terraza",$300.000,1 dormitorio,1 baño,32 m² útiles,"Av. Inglaterra 1200 - 1500, Hospit..."
Departamento Blanco Garcés Id: 20466,$315.000,1 dormitorio,1 baño,40 m² útiles,"Blanco Garcés, San Alberto Hurtado..."
Departamento Santa Rosa Id: 42619,$150.000,2 dormitorios,1 baño,42 m² útiles,"Santa Rosa, Ciudad Del Niño, San M..."
Departamento Avenida Macul Id: 89843,$530.000,2 dormitorios,2 baños,59 m² útiles,"Avenida Macul, Las Dalias, Macul"
Departamento Anibal Pinto Id: 143080,UF15,2 dormitorios,2 baños,55 m² útiles,"Anibal Pinto, Barrio Poniente, Con..."
Departamento Monumento Id: 143041,$720.000,2 dormitorios,2 baños,60 m² útiles,"Monumento, Plaza De Maipú, Maipú"
Departamento Coronel Souper Id: 143031,$290.000,1 dormitorio,1 baño,30 m² útiles,"Coronel Souper, San Alberto Hurtad..."
Departamento Radal Del Obispo Francisco Anabalón Duarte,$310.000,2 dormitorios,1 baño,52 m² útiles,Radal Del Obispo Francisco Anabaló...
Departamento Avenida Pedro Aguirre Cerda Id: 142838,$550.000,2 dormitorios,2 baños,58 m² útiles,"Avenida Pedro Aguirre Cerda, San P..."
Depto. Frente Al Mar Con Patio De Uso En Viña Del Mar,$990.000,3 dormitorios,3 baños,115 m² útiles,"6 Nte. 24, 2.52e+06 - 2.5203e+06 V..."
Deptos. A Pasos Del Colegio Mackay En Reñaca,$550.000,2 dormitorios,2 baños,50 m² útiles,"Vicuña Mackenna, Viña Del Mar, Reñ..."
"Depto. 130 Mt2 Y 3 Dormitorios, El Mejor Sector De Vitacura",$1.520.000,3 dormitorios,3 baños,130 m² útiles,"Juan Xxiii 6130, 7.6404e+06 - 7.64..."
Depto. 180 Mt2 Y 4 Dormitorios Frente Al Mar En Viña Del Mar,$1.350.000,4 dormitorios,4 baños,180 m² útiles,"Av. La Marina 216, 2.5713e+06 - 2...."
Depto. En Reñaca Norte Con Ed. Eluchans Con Est. Y Bod.,$798.000,2 dormitorios,2 baños,64 m² útiles,"Reñaca Nte. 1 - 300, Concón, Viña ..."
"Depto. 62 Mt2, Estac. Y Bodega En Bosques De Montemar",$580.000,1 dormitorio,1 baño,62 m² útiles,José María Escrivá De Balaguer 600...
Moderno Y Amplio  Depto/3d+3b  /vista Despejada,UF40,3 dormitorios,3 baños,125 m² útiles,"Pontevedra 900 - 1200, Rotonda Ate..."
Edificio Av. Perú Vista Poniente Piso 6,$359.000,1 dormitorio,1 baño,32 m² útiles,"Av. Perú 1268, Cementerios, Recole..."
Edificio Av. Perú Vista Oriente Piso 6,$359.000,1 dormitorio,1 baño,32 m² útiles,"Av. Perú 1268, Cementerios, Recole..."
Edificio Av. Perú Vista Poniente Piso 10,$359.000,1 dormitorio,1 baño,32 m² útiles,"Av. Perú 1268, Cementerios, Recole..."
Edificio Av. Perú Piso 7,$359.000,1 dormitorio,1 baño,32 m² útiles,"Av. Perú 1268, Cementerios, Recole..."
Edificio Av. Diego Portales (1 Est.) Vista Norte Piso 1,$530.000,3 dormitorios,2 baños,60 m² útiles,"Av. Diego Portales 817, Los Quilla..."
Edificio Av. Inglaterra (1 Est.) Piso 10,$420.000,2 dormitorios,2 baños,50 m² útiles,"Av. Inglaterra 1280, Hospitales, I..."
Edificio Coronel Souper Vista Poniente Piso 14,$200.000,1 dormitorio,1 baño,21 m² útiles,"Coronel Souper 4060, San Alberto H..."
Juan Mitjans 105b / Metro R De Araya /  1 Dorm /esp Lavadora,$349.000,1 dormitorio,1 baño,40 m² útiles,"Juan Mitjans, Metro Rodrigo De Ara..."
Dp 1d 1b En Santa Elena San Joaquin En Promoción,$165.000,1 dormitorio,1 baño,36 m² útiles,"Sta. Elena 2857, Rodrigo De Araya,..."
Edificio Av. María Rozas Velásquez Vista Norponiente Piso,$218.000,1 dormitorio,1 baño,26 m² útiles,"Av. María Rozas Velásquez 65, Metr..."
Edificio Padre José Cifuentes Grez Vista Norte Piso 13,$275.000,1 dormitorio,1 baño,30 m² útiles,"Padre José Cifuentes Grez 864, Hos..."
Edificio Las Enredaderas Vista Norte Piso 9,$340.000,2 dormitorios,1 baño,41 m² útiles,"Las Enredaderas 2118, Plaza Chacab..."
Edificio Las Enredaderas Vista Surponiente Piso 6,$410.000,2 dormitorios,1 baño,44 m² útiles,"Las Enredaderas 2118, Plaza Chacab..."
Edificio Vicuña Mackenna Vista Oriente Piso 15,$310.000,1 dormitorio,1 baño,30 m² útiles,"Vicuña Mackenna 1433, Bogotá - Sie..."
Edificio Lia Aguirre (1 Est. 1 Bod.) Vista Poniente Piso 8,$475.000,2 dormitorios,2 baños,46 m² útiles,"Lia Aguirre 155, Plaza Vespucio, L..."
Edificio Eleuterio Ramirez Vista Suroriente Piso 6,$320.000,1 dormitorio,1 baño,25 m² útiles,"Eleuterio Ramirez 1291, Bulnes, Sa..."
Edificio Briones Luco Vista Oriente Piso 10,$255.000,1 dormitorio,1 baño,29 m² útiles,"Briones Luco 0957, Lo Ovalle, La C..."
Edificio Av. Inglaterra (1 Est.) Piso 2,$420.000,2 dormitorios,2 baños,68 m² útiles,"Av. Inglaterra 1280, Hospitales, I..."
Edificio Av. Perú Vista Poniente Piso 6,$359.000,1 dormitorio,1 baño,32 m² útiles,"Av. Perú 1268, Cementerios, Recole..."
Edificio Vicuña Mackenna Oriente (1 Est.) Vista Norponient,$450.000,2 dormitorios,1 baño,40 m² útiles,"Vicuña Mackenna Oriente 7492, Plaz..."
Edificio Nicasio Retamales (1 Bod.) Vista Oriente Piso 27,$290.000,2 dormitorios,1 baño,40 m² útiles,"Nicasio Retamales 048 058, Univers..."
Edificio Sta. Elisa Piso 8,$275.000,1 dormitorio,1 baño,31 m² útiles,"Sta. Elisa 490, Lo Ovalle, La Cist..."
Edificio Placilla Vista Poniente Piso 14,$250.000,1 dormitorio,1 baño,35 m² útiles,"Placilla 149, San Alberto Hurtado,..."
Edificio Apóstol Santiago (1 Est. 1 Bod.) Piso 22,$425.000,2 dormitorios,2 baños,49 m² útiles,"Apóstol Santiago 32, San Alberto H..."
Edificio Coronel Souper Vista Poniente Piso 14,$180.000,1 dormitorio,1 baño,21 m² útiles,"Coronel Souper 4060, San Alberto H..."
Edificio Nicasio Retamales (1 Bod.) Vista Poniente Piso 18,$290.000,2 dormitorios,1 baño,39 m² útiles,"Nicasio Retamales 115, Universidad..."
Edificio Av. Padre Alberto Hurtado Vista Oriente Piso 14,$240.000,1 dormitorio,1 baño,31 m² útiles,"Av. Padre Alberto Hurtado 59, San ..."
Edificio Buzo Sobenes (1 Bod.) Vista Oriente Piso 29,$210.000,1 dormitorio,1 baño,31 m² útiles,"Buzo Sobenes 4650, San Alberto Hur..."
Edificio María Rozas Velásquez Vista Sur Piso 22,$230.000,1 dormitorio,1 baño,24 m² útiles,"María Rozas Velásquez 55, Metro La..."
Edificio Av. María Rozas Velásquez Vista Oriente Piso 19,$218.000,1 dormitorio,1 baño,26 m² útiles,"Av. María Rozas Velásquez 65, Metr..."
Edificio Nicasio Retamales Vista Norte Piso 8,$310.000,2 dormitorios,1 baño,39 m² útiles,"Nicasio Retamales 115, Universidad..."
Edificio Av. Perú Vista Poniente Piso 8,$359.000,1 dormitorio,1 baño,32 m² útiles,"Av. Perú 1268, Cementerios, Recole..."
Edificio Av. Perú Vista Oriente Piso 7,$359.000,1 dormitorio,1 baño,32 m² útiles,"Av. Perú 1268, Cementerios, Recole..."
Edificio Av. Perú Vista Oriente Piso 8,$359.000,1 dormitorio,1 baño,32 m² útiles,"Av. Perú 1268, Cementerios, Recole..."
Edificio P Mackenna (1 Est.) Vista Norponiente Piso 1,$790.000,3 dormitorios,2 baños,81 m² útiles,"P Mackenna 798, Forestal, Viña Del..."
Edificio Av. Perú Vista Oriente Piso 8,$359.000,1 dormitorio,1 baño,32 m² útiles,"Av. Perú 1268, Cementerios, Recole..."
Edificio Nicasio Retamales (1 Est.) Vista Sur Piso 1,$370.000,2 dormitorios,1 baño,40 m² útiles,"Nicasio Retamales 115, Universidad..."
Edificio Conde Del Maule Piso 19,$200.000,1 dormitorio,1 baño,No disponible,"Conde Del Maule 4364, San Alberto ..."
Edificio Av. Perú Vista Poniente Piso 8,$359.000,1 dormitorio,1 baño,32 m² útiles,"Av. Perú 1268, Cementerios, Recole..."
Edificio Av. Perú Vista Oriente Piso 6,$359.000,1 dormitorio,1 baño,32 m² útiles,"Av. Perú 1268, Cementerios, Recole..."
Edificio Belisario Prats Vista Sur Piso 6,$319.900,1 dormitorio,1 baño,33 m² útiles,"Belisario Prats 1850, Plaza Chacab..."
Edificio Nicasio Retamales Vista Norte Piso 23,$370.000,2 dormitorios,2 baños,46 m² útiles,"Nicasio Retamales 048 058, Univers..."
Edificio Nicasio Retamales (1 Est.) Vista Poniente Piso 13,$400.000,2 dormitorios,2 baños,49 m² útiles,"Nicasio Retamales 048 058, Univers..."
Edificio Cnel. Souper Vista Sur Piso 16,$400.000,2 dormitorios,2 baños,56 m² útiles,"Cnel. Souper 4515, Metro Ecuador, ..."
Edificio Nicasio Retamales (1 Bod.) Vista Oriente Piso 28,$370.000,2 dormitorios,2 baños,45 m² útiles,"Nicasio Retamales 048 058, Univers..."
Edificio Av. Ecuador (1 Est. 1 Bod.) Vista Sur Piso 24,$320.000,2 dormitorios,1 baño,40 m² útiles,"Av. Ecuador 3866, Universidad De S..."
Edificio Av. Perú Vista Oriente Piso 10,$359.000,1 dormitorio,1 baño,32 m² útiles,"Av. Perú 1268, Cementerios, Recole..."
Edificio Belisario Prats Vista Norte Piso 2,$445.000,2 dormitorios,2 baños,54 m² útiles,"Belisario Prats 1850, Plaza Chacab..."
Edificio Conde Del Maule Vista Poniente Piso 9,$220.000,1 dormitorio,1 baño,26 m² útiles,"Conde Del Maule 4364, San Alberto ..."
Edificio Conde Del Maule Vista Poniente Piso 15,$200.000,1 dormitorio,1 baño,29 m² útiles,"Conde Del Maule 4364, San Alberto ..."
Edificio Nicasio Retamales Vista Norte Piso 12,$250.000,1 dormitorio,1 baño,31 m² útiles,"Nicasio Retamales 115, Universidad..."
Edificio Av. Perú Vista Oriente Piso 8,$349.000,1 dormitorio,1 baño,32 m² útiles,"Av. Perú 1268, Cementerios, Recole..."
Edificio Constantino Vista Sur Piso 11,$229.000,1 dormitorio,1 baño,26 m² útiles,"Constantino 141, San Alberto Hurta..."
Edificio Belisario Prats Piso 5,$439.000,2 dormitorios,2 baños,53 m² útiles,"Belisario Prats 1850, Plaza Chacab..."
Edificio Nicasio Retamales Vista Oriente Piso 18,$315.000,2 dormitorios,1 baño,39 m² útiles,"Nicasio Retamales 115, Universidad..."
Edificio Nicasio Retamales (1 Est. 1 Bod.) Vista Norte Piso,$350.000,2 dormitorios,2 baños,47 m² útiles,"Nicasio Retamales 115, Universidad..."
Edificio Nicasio Retamales (1 Est.) Vista Oriente Piso 9,$330.000,2 dormitorios,1 baño,44 m² útiles,"Nicasio Retamales 115, Universidad..."
Edificio Sta. Elisa Piso 10,$275.000,1 dormitorio,1 baño,31 m² útiles,"Sta. Elisa 490, Lo Ovalle, La Cist..."
Edificio Sta. Elisa Piso 10,$275.000,1 dormitorio,1 baño,31 m² útiles,"Sta. Elisa 490, Lo Ovalle, La Cist..."
Edificio Sta. Elisa Piso 5,$275.000,1 dormitorio,1 baño,31 m² útiles,"Sta. Elisa 490, Lo Ovalle, La Cist..."
Edificio Nicasio Retamales (1 Bod.) Vista Sur Piso 13,$360.000,2 dormitorios,1 baño,44 m² útiles,"Nicasio Retamales 115, Universidad..."
Edificio Nueva Cuatro (1 Est. 1 Bod.) Vista Oriente Piso 9,$595.000,2 dormitorios,2 baños,61 m² útiles,"Nueva Cuatro 6277, Plaza Vespucio,..."
Edificio Av. Ecuador Vista Norte Piso 4,$255.000,1 dormitorio,1 baño,27 m² útiles,"Av. Ecuador 3866, Universidad De S..."
Edificio Nicasio Retamales Vista Sur Piso 21,$290.000,2 dormitorios,1 baño,39 m² útiles,"Nicasio Retamales 048 058, Univers..."
Edificio Av. Inglaterra Piso 8,$390.000,2 dormitorios,2 baños,50 m² útiles,"Av. Inglaterra 1280, Hospitales, I..."
Edificio Amalia Errazuriz Vista Norte Piso 5,$310.000,1 dormitorio,1 baño,32 m² útiles,"Amalia Errazuriz 956, Hospitales, ..."
Edificio Colón Vista Oriente Piso 18,$360.000,2 dormitorios,1 baño,40 m² útiles,"Colón 6435, Lo Ovalle, La Cisterna"
Edificio Av. Inglaterra (1 Est.) Piso 5,$420.000,2 dormitorios,2 baños,51 m² útiles,"Av. Inglaterra 1280, Hospitales, I..."
Edificio Nicasio Retamales Vista Oriente Piso 12,$290.000,2 dormitorios,1 baño,40 m² útiles,"Nicasio Retamales 048 058, Univers..."
Edificio Toro Mazote Vista Norte Piso 23,$240.000,1 dormitorio,1 baño,34 m² útiles,"Toro Mazote 76, San Alberto Hurtad..."
Edificio Av. Inglaterra Piso 4,$420.000,2 dormitorios,2 baños,50 m² útiles,"Av. Inglaterra 1280, Hospitales, I..."
Edificio Toro Mazote Vista Sur Piso 14,$250.000,1 dormitorio,1 baño,28 m² útiles,"Toro Mazote 76, San Alberto Hurtad..."
Edificio Av. Inglaterra (1 Est.) Piso 8,$420.000,2 dormitorios,2 baños,51 m² útiles,"Av. Inglaterra 1280, Hospitales, I..."
Edificio Av. Inglaterra (1 Est.) Piso 8,$420.000,2 dormitorios,2 baños,51 m² útiles,"Av. Inglaterra 1280, Hospitales, I..."
Edificio Av. Inglaterra (1 Est.) Piso 4,$420.000,2 dormitorios,2 baños,50 m² útiles,"Av. Inglaterra 1280, Hospitales, I..."
Edificio Av. Inglaterra (1 Est.) Piso 7,$420.000,2 dormitorios,2 baños,68 m² útiles,"Av. Inglaterra 1280, Hospitales, I..."
Edificio Santa Elena (1 Est.) Vista Oriente Piso 2,$375.000,1 dormitorio,1 baño,29 m² útiles,"Santa Elena 998, Barrio Diez De Ju..."
Edificio Gral. Baquedano Vista Oriente Piso 11,$260.000,1 dormitorio,1 baño,30 m² útiles,"Gral. Baquedano 775, Barrio Brasil..."
Edificio Av. Ossa (1 Est. 1 Bod.) Vista Suroriente,$1.130.000,3 dormitorios,3 baños,82 m² útiles,"Av. Ossa 1529, Metro Príncipe De G..."
Edificio Av. María Rozas Velásquez Vista Nororiente Piso,$290.000,1 dormitorio,1 baño,32 m² útiles,"Av. María Rozas Velásquez 45, Metr..."
Edificio Av. Inglaterra Vista Norte Piso 4,$390.000,2 dormitorios,2 baños,51 m² útiles,"Av. Inglaterra 1280, Hospitales, I..."
Edificio Av. Inglaterra Vista Sur Piso 10,$390.000,2 dormitorios,2 baños,50 m² útiles,"Av. Inglaterra 1280, Hospitales, I..."
Edificio Apóstol Santiago (1 Bod.) Vista Sur Piso 3,$330.000,2 dormitorios,1 baño,43 m² útiles,"Apóstol Santiago 32, San Alberto H..."
Edificio Av. Ecuador (1 Est. 1 Bod.) Vista Norte Piso 14,$390.000,2 dormitorios,2 baños,47 m² útiles,"Av. Ecuador 3866, Universidad De S..."
Edificio Inglaterra Vista Poniente Piso 20,$250.000,1 dormitorio,1 baño,30 m² útiles,"Inglaterra 1144, Hospitales, Indep..."
Edificio Conde Del Maule Vista Norponiente Piso 15,$270.000,1 dormitorio,1 baño,30 m² útiles,"Conde Del Maule 4325, San Alberto ..."
Edificio Litorina (1 Est. 1 Bod.),$550.000,2 dormitorios,2 baños,No disponible,"Litorina 210, Reñaca, Viña Del Mar"
Edificio Franklin Vista Nororiente Piso 14,$350.000,1 dormitorio,1 baño,32 m² útiles,"Franklin 200, Bogotá - Sierra Bell..."
Edificio Sta Clara (1 Bod.) Vista Norte Piso 11,$245.000,1 dormitorio,1 baño,23 m² útiles,"Sta Clara 360, Lo Ovalle, La Ciste..."
Edificio Colón Vista Oriente Piso 14,$360.000,2 dormitorios,1 baño,40 m² útiles,"Colón 6435, Lo Ovalle, La Cisterna"
Edificio Lia Aguirre (1 Est. 1 Bod.) Vista Poniente Piso 9,$475.000,2 dormitorios,2 baños,46 m² útiles,"Lia Aguirre 155, Plaza Vespucio, L..."
Edificio Nicasio Retamales (1 Est. 1 Bod.) Vista Sur Piso 1,$290.000,1 dormitorio,1 baño,26 m² útiles,"Nicasio Retamales 048 058, Univers..."
Edificio Gaspar De Orense Vista Oriente Piso 2,$380.000,2 dormitorios,1 baño,38 m² útiles,"Gaspar De Orense 897, Blanqueado, ..."
Edificio Lia Aguirre (2 Est. 1 Bod.) Vista Nororiente Piso,$450.000,2 dormitorios,2 baños,40 m² útiles,"Lia Aguirre 95, Plaza Vespucio, La..."
Edificio Av. Lo Espejo (1 Est. 1 Bod.) Vista Norponiente Pi,$380.000,3 dormitorios,1 baño,48 m² útiles,"Av. Lo Espejo 151, Metro La Cister..."
Edificio Trinidad Ramírez Vista Surponiente Piso 4,$325.000,2 dormitorios,1 baño,40 m² útiles,"Trinidad Ramírez 024, Metro La Cis..."
Edificio Toesca Vista Poniente Piso 8,$310.000,1 dormitorio,1 baño,35 m² útiles,"Toesca 2576, Barrio República, San..."
Edificio Lia Aguirre Vista Poniente Piso 9,$320.000,1 dormitorio,1 baño,31 m² útiles,"Lia Aguirre 155, Plaza Vespucio, L..."
Edificio Euclides Vista Sur Piso 20,$315.000,1 dormitorio,1 baño,31 m² útiles,"Euclides 1211, El Llano, San Miguel"
Edificio Euclides Vista Norte Piso 20,$315.000,1 dormitorio,1 baño,31 m² útiles,"Euclides 1211, El Llano, San Miguel"
Edificio Euclides Vista Oriente Piso 20,$315.000,1 dormitorio,1 baño,29 m² útiles,"Euclides 1211, El Llano, San Miguel"
Edificio Catedral (1 Est.) Vista Sur Piso 3,$420.000,2 dormitorios,1 baño,40 m² útiles,"Catedral 3151, Barrio Yungay, Sant..."
Edificio Juan De Barros Vista Poniente Piso 17,$320.000,3 dormitorios,1 baño,41 m² útiles,"Juan De Barros 3885, Parque Padre ..."
Edificio Cnel. Souper (1 Est. 1 Bod.) Vista Sur Piso 3,$415.000,2 dormitorios,2 baños,49 m² útiles,"Cnel. Souper 4171, San Alberto Hur..."
Edificio Euclides Vista Oriente Piso 20,$315.000,1 dormitorio,1 baño,30 m² útiles,"Euclides 1211, El Llano, San Miguel"
Edificio Av. Libertador Bernardo O'higgins Vista Poniente P,$260.000,1 dormitorio,1 baño,31 m² útiles,Av. Libertador Bernardo O'higgins ...
Edificio Eyzaguirre (1 Bod.) Piso 10,$270.000,1 dormitorio,1 baño,27 m² útiles,"Eyzaguirre 819, San Diego, Santiago"
Edificio Av. Manuel Rodríguez Vista Poniente Piso 6,$300.000,1 dormitorio,1 baño,26 m² útiles,"Av. Manuel Rodríguez 881, Centro H..."
Edificio Manuel Jesús Rivera (1 Est. 1 Bod.) Piso 13,$538.000,3 dormitorios,1 baño,59 m² útiles,"Manuel Jesús Rivera 100, San Juan,..."
Edificio Av. Padre Alberto Hurtado Vista Poniente Piso 10,$340.000,2 dormitorios,2 baños,38 m² útiles,"Av. Padre Alberto Hurtado 131, Uni..."
Edificio Hipódromo Chile Vista Norte Piso 20,$350.000,2 dormitorios,1 baño,48 m² útiles,"Hipódromo Chile 1701, Plaza Chacab..."
Edificio Av. Libertador Bernardo O'higgins Vista Oriente Pi,$260.000,1 dormitorio,1 baño,31 m² útiles,Av. Libertador Bernardo O'higgins ...
Edificio Lia Aguirre Vista Poniente Piso 8,$320.000,1 dormitorio,1 baño,34 m² útiles,"Lia Aguirre 155, Plaza Vespucio, L..."
Edificio Lia Aguirre Vista Poniente Piso 7,$320.000,1 dormitorio,1 baño,34 m² útiles,"Lia Aguirre 155, Plaza Vespucio, L..."
Edificio Av. Libertador Bernardo O'higgins Vista Poniente P,$260.000,1 dormitorio,1 baño,31 m² útiles,Av. Libertador Bernardo O'higgins ...
Edificio Euclides Vista Poniente Piso 20,$315.000,1 dormitorio,1 baño,30 m² útiles,"Euclides 1211, El Llano, San Miguel"
Edificio Av. Libertador Bernardo O'higgins Vista Poniente P,$260.000,1 dormitorio,1 baño,31 m² útiles,Av. Libertador Bernardo O'higgins ...
Edificio Placilla Vista Poniente Piso 20,$265.000,1 dormitorio,1 baño,27 m² útiles,"Placilla 046, San Alberto Hurtado,..."
Edificio Av. Libertador Bernardo O'higgins Vista Poniente P,$260.000,1 dormitorio,1 baño,30 m² útiles,Av. Libertador Bernardo O'higgins ...
Edificio Rosas Vista Sur Piso 2,$330.000,2 dormitorios,1 baño,40 m² útiles,"Rosas 2999, Barrio Yungay, Santiago"
Edificio Maipú (1 Bod.) Vista Oriente Piso 3,$235.000,1 dormitorio,1 baño,30 m² útiles,"Maipú 1136, Parque Los Reyes, Sant..."
Edificio Av. Libertador Bernardo O'higgins Vista Oriente Pi,$255.000,1 dormitorio,1 baño,31 m² útiles,Av. Libertador Bernardo O'higgins ...
Edificio Av Libertador Bernardo O'higgins Vista Sur Piso 3,$230.000,1 dormitorio,1 baño,33 m² útiles,Av Libertador Bernardo O'higgins 4...
Edificio Radal Vista Oriente Piso 27,$250.000,1 dormitorio,1 baño,32 m² útiles,"Radal 66, Metro Ecuador, Estación ..."
Edificio Radal Piso 19,$275.000,1 dormitorio,1 baño,32 m² útiles,"Radal 66, Metro Ecuador, Estación ..."
Edificio Av. Libertador Bernardo O'higgins Vista Oriente Pi,$260.000,1 dormitorio,1 baño,30 m² útiles,Av. Libertador Bernardo O'higgins ...
Edificio Conde Del Maule Vista Norte Piso 16,$210.000,1 dormitorio,1 baño,18 m² útiles,"Conde Del Maule 4642, Metro Ecuado..."
Edificio Nueva Andrés Bello Vista Oriente Piso 14,$245.000,1 dormitorio,1 baño,28 m² útiles,"Nueva Andrés Bello 1860, Juan Anto..."
Edificio Francisco Zelada Vista Sur Piso 10,$270.000,1 dormitorio,1 baño,29 m² útiles,"Francisco Zelada 086, Metro Ecuado..."
Edificio Toro Mazotte (2 Est. 1 Bod.) Vista Oriente Piso 7,$360.000,1 dormitorio,1 baño,32 m² útiles,"Toro Mazotte 110, San Alberto Hurt..."
Edificio Lia Aguirre Vista Oriente Piso 14,$315.000,1 dormitorio,1 baño,38 m² útiles,"Lia Aguirre 155, Plaza Vespucio, L..."
Edificio Gamero Vista Poniente Piso 3,$250.000,1 dormitorio,1 baño,28 m² útiles,"Gamero 1541, Hospitales, Independe..."
Edificio Sta. Petronila Vista Sur Piso 23,$230.000,1 dormitorio,1 baño,20 m² útiles,"Sta. Petronila 32, Metro Las Rejas..."
Edificio Cuarta Avenida Vista Poniente Piso 16,$255.000,1 dormitorio,1 baño,22 m² útiles,"Cuarta Avenida 1175, Ciudad Del Ni..."
Edificio Litorina (1 Est. 1 Bod.),$550.000,2 dormitorios,2 baños,No disponible,"Litorina 210, Reñaca, Viña Del Mar"
Edificio Inglaterra Piso 18,$210.000,1 dormitorio,1 baño,No disponible,"Inglaterra 1144, Hospitales, Indep..."
Edificio María Rozas Velásquez (1 Est.) Vista Sur Piso 22,$250.000,1 dormitorio,1 baño,29 m² útiles,"María Rozas Velásquez 55, Metro La..."
Edificio Inglaterra Piso 18,$230.000,1 dormitorio,1 baño,29 m² útiles,"Inglaterra 1144, Hospitales, Indep..."
Edificio Conde Del Maule (1 Bod.) Vista Norte Piso 8,$260.000,1 dormitorio,1 baño,30 m² útiles,"Conde Del Maule 4670, Metro Ecuado..."
